colony,fraction_ON
colony1,0.02040816326530612
colony2,0.04838709677419355
colony3,0.05701754385964912
colony4,0.7192982456140351
colony5,0.016597510373443983
colony6,0.05314009661835749
colony7,0.018223234624145785
colony8,0.03389830508474576
colony9,0.05319148936170213
colony10,0.015748031496062992
colony11,0.5873015873015873
colony12,0.030366492146596858
colony13,0.0
colony14,0.030303030303030304
colony15,0.18584070796460178
colony16,0.0
colony17,0.012345679012345678
colony18,0.0
colony19,0.036241610738255034
colony20,0.0
colony21,0.023370233702337023
colony22,0.890625
colony23,0.0
colony24,0.0756578947368421
colony25,0.4074074074074074
colony26,0.027586206896551724
colony27,0.0223463687150838
colony28,0.01834862385321101
colony29,0.02364394993045897
colony30,0.034375
colony31,0.0
colony32,0.3485915492957746
colony33,0.7047353760445683
colony34,0.09112709832134293
colony35,0.0
colony36,0.0
colony37,0.35384615384615387
colony38,0.09941520467836257
colony39,0.053811659192825115
colony40,0.5634266886326195
colony41,0.044642857142857144
colony42,0.0196078431372549
colony43,0.03146067415730337
colony44,0.0
colony45,0.2537313432835821
colony46,0.09296482412060302
colony47,0.012048192771084338
colony48,0.0
colony49,0.006289308176100629
colony50,0.09859154929577464
colony51,0.00808080808080808
colony52,0.8169014084507042
colony53,0.0274442538593482
colony54,0.005494505494505495
colony55,0.02054794520547945
colony56,0.11583011583011583
colony57,0.004
colony58,0.17307692307692307
colony59,0.0091324200913242
colony60,0.020706455542021926
colony61,0.0
colony62,0.07722772277227723
colony63,0.0
colony64,0.025959367945823927
colony65,0.02702702702702703
colony66,0.01694915254237288
colony67,0.01749271137026239
colony68,0.0
colony69,0.017241379310344827
colony70,0.0117096018735363
colony71,0.04361370716510903
colony72,0.01430615164520744
colony73,0.04411764705882353
colony74,0.015822784810126583
colony75,0.5822050290135397
colony76,0.028328611898016998
colony77,0.034482758620689655
colony78,0.025906735751295335
colony79,0.04914933837429111
colony80,0.013157894736842105
colony81,0.10526315789473684
colony82,0.6245283018867924
colony83,0.007692307692307693
colony84,0.10344827586206896
colony85,0.029208709506107277
colony86,0.20253164556962025
colony87,0.05732484076433121
colony88,0.045785639958376693
colony89,0.0
colony90,0.018656716417910446
colony91,0.12472487160674982
colony92,0.003472222222222222
colony93,0.010238907849829351
colony94,0.0
colony95,0.2765957446808511
colony96,0.12087912087912088
colony97,0.06744868035190615
colony98,0.0
colony99,0.0547945205479452
colony100,0.004329004329004329
